Test 					golang_server   node     wilton_test_1   wilton_test_2   wilton_test_3    wilton_test_4   js_wilton_2  js_wilton_4
line-4-100000-60-GET-3     8.74          31.25      22.41          17.47           14.30             14.24         71.18          57.00  
line-4-100000-60-POST-9    9.78          36.61      25.16          18.35           10.81             16.08         64.56          56.26  
line-4-200000-60-GET-4     8.77          31.15      22.96          17.11           14.09             14.90         66.05          61.20  
line-4-250000-60-GET-5     8.67          31.25      22.93          17.28           13.99             15.39         93.12          58.15  
line-4-250000-60-POST-11   9.85          36.30      25.58          18.63           11.92             16.05         66.23          54.34  
line-4-300000-60-GET-6     9.12          31.70      22.87          17.19           15.19             15.24         69.28          63.24  
line-4-300000-60-POST-12   9.88          36.50      25.34          18.81           14.17             16.33         64.58          52.74  
line-4-350000-60-GET-7     8.66          31.95      23.19          17.05           14.60             14.92         71.96          55.34  
line-4-350000-60-POST-13   9.89          36.28      -              18.61               -             15.87         59.37          -      
line-4-50000-60-GET-2      8.68          31.54      24.71          18.37           15.45             16.20         86.47          74.26  
line-4-50000-60-POST-8     9.84          36.57      25.10          19.09           15.81             15.72         64.26          68.70  
line-4-200000-60-POST-10   9.95          36.10      25.67          19.29           9.68              15.81             -          55.67  
